Customer_ID,Age,Gender,Annual_Income,Spending_Score,City,Purchase_Count,Avg_Order_Value,Membership,Churn
1001,56.0,Female,762956.0,16,Chennai,11,2854.54,Platinum,0
1002,46.0,Male,788873.0,8,Bangalore,9,3231.06,Platinum,0
1003,32.0,Male,215953.0,4,Pune,12,11097.03,Silver,0
1004,60.0,Male,650328.0,4,Pune,10,2764.38,Gold,1
1005,25.0,Female,153267.0,56,Pune,17,3901.14,Gold,0
1006,38.0,Male,232745.0,25,Bangalore,14,14468.53,Gold,0
1007,56.0,Other,974945.0,67,Bangalore,19,4201.94,Silver,0
1008,36.0,Male,307164.0,96,Chennai,11,10093.67,Gold,1
1009,40.0,Female,685626.0,67,Mumbai,6,14690.15,Silver,0
1010,,Female,281484.0,27,Chennai,13,5927.3,Gold,1
1011,28.0,Male,681831.0,93,Hyderabad,18,753.98,Gold,0
1012,41.0,Female,1042323.0,32,Delhi,10,4040.14,Gold,0
1013,53.0,Female,,50,Pune,10,12547.72,Gold,1
1014,57.0,Female,980857.0,61,Mumbai,16,13036.83,Gold,0
1015,41.0,Male,713044.0,51,Delhi,15,11643.53,Silver,0
1016,20.0,Male,693176.0,19,Mumbai,16,2140.09,Silver,0
1017,39.0,Female,841095.0,21,Chennai,7,12034.9,Gold,1
1018,,Female,983727.0,5,Bangalore,8,13820.83,Silver,0
1019,41.0,Male,1184978.0,82,Pune,12,9208.84,Silver,0
1020,61.0,Male,1019474.0,92,Chennai,14,14142.69,Silver,0
1021,47.0,Female,235999.0,42,Delhi,9,12489.16,Silver,0
1022,55.0,Male,,61,Delhi,11,10171.09,Platinum,0
1023,19.0,Female,346582.0,22,Delhi,17,8869.19,Gold,1
1024,38.0,Female,550573.0,21,Delhi,12,5554.32,Platinum,1
1025,50.0,Female,211476.0,70,Delhi,12,2809.67,Gold,1
1026,29.0,Female,,1,Mumbai,11,9271.83,Silver,0
1027,39.0,Male,848646.0,5,Chennai,14,5112.62,Silver,0
1028,61.0,Female,787144.0,12,Pune,8,13063.36,Gold,0
1029,42.0,Female,564568.0,90,Bangalore,9,14903.39,Silver,0
1030,44.0,Male,1048320.0,46,Bangalore,9,11410.2,Platinum,0
1031,59.0,Male,784736.0,34,Chennai,12,1811.98,Gold,1
1032,45.0,Other,1118021.0,49,Chennai,16,,Silver,0
1033,33.0,Female,216234.0,78,,15,2082.09,Platinum,0
1034,32.0,Male,328352.0,90,Bangalore,8,9932.42,Gold,0
